Species	Length	LocusType
Dmel	3342	piLocus
Dmel	3507	piLocus
Dmel	9869	piLocus
Dmel	46602	piLocus
Dmel	2470	niLocus
Dmel	2525	piLocus
Dmel	1946	piLocus
Dmel	2017	niLocus
Dmel	734	iiLocus
Dmel	8201	piLocus
Dmel	2155	piLocus
Dmel	4820	piLocus
Dmel	3333	piLocus
Dmel	3729	piLocus
Dmel	2647	piLocus
Dmel	2405	piLocus
Dmel	4113	piLocus
Dmel	3205	piLocus
Dmel	4576	piLocus
Dmel	3690	piLocus
Dmel	4691	piLocus
Dmel	3292	piLocus
Dmel	1891	piLocus
Dmel	3345	piLocus
Dmel	3114	piLocus
Dmel	2934	piLocus
Dmel	5526	piLocus
Dmel	5988	piLocus
Dmel	395149	piLocus
Dmel	1498	niLocus
Dmel	8662	piLocus
Dmel	6868	piLocus
Dmel	1966	piLocus
Dmel	1970	piLocus
Dmel	2106	piLocus
Dmel	2436	piLocus
Dmel	1729	piLocus
Dmel	4465	piLocus
Dmel	5657	piLocus
Dmel	2375	piLocus
Dmel	3831	piLocus
Dmel	1840	piLocus
Dmel	2047	piLocus
Dmel	2672	piLocus
Dmel	1922	piLocus
Dmel	2184	piLocus
Dmel	2187	piLocus
Dmel	1487	piLocus
Dmel	2087	piLocus
Dmel	24436	piLocus
Dmel	1948	piLocus
Dmel	38352	piLocus
Dmel	1873	piLocus
Dmel	2099	piLocus
Dmel	2206	piLocus
Dmel	168328	piLocus
Dmel	1557	piLocus
Dmel	1546	piLocus
Dmel	1594	piLocus
Dmel	1523	piLocus
Dmel	1267	piLocus
Dmel	1690	piLocus
Dmel	1952	piLocus
Dmel	36068	niLocus
Dmel	2659	piLocus
Dmel	14285	iiLocus
Dmel	1375	niLocus
Dmel	8098	iiLocus
Dmel	19539	piLocus
Dmel	150629	niLocus
Dmel	62000	piLocus
Dmel	1072	niLocus
Dmel	1865	piLocus
Dmel	2225	piLocus
Dmel	2909	piLocus
Dmel	2571	piLocus
Dmel	9788	piLocus
Dmel	6860	piLocus
Dmel	2591	piLocus
Dmel	1774	piLocus
Dmel	6266	piLocus
Dmel	14841	piLocus
Dmel	65405	ciLocus
Dmel	1361	niLocus
Dmel	15189	piLocus
Dmel	3167	piLocus
Dmel	93189	piLocus
Dmel	2225	piLocus
Dmel	3666	piLocus
Dmel	30872	piLocus
Dmel	2591	niLocus
Dmel	16188	piLocus
Dmel	70764	piLocus
Dmel	1124	niLocus
Dmel	3509	piLocus
Dmel	1428	niLocus
Dmel	5117	piLocus
Dmel	810	iiLocus
Dmel	3421	piLocus
Dmel	1428	niLocus
Dmel	9725	piLocus
Dmel	46924	piLocus
Dmel	1072	niLocus
Dmel	1072	niLocus
Dmel	4350	piLocus
Dmel	6468	niLocus
Dmel	9974	piLocus
Dmel	12407	piLocus
Dmel	3320	piLocus
Dmel	7424	piLocus
Dmel	40298	piLocus
Dmel	5680	piLocus
Dmel	5066	piLocus
Dmel	4419	piLocus
Dmel	4418	piLocus
Dmel	7468	piLocus
Dmel	10785	piLocus
Dmel	4221	piLocus
Dmel	3563	piLocus
Dmel	4122	niLocus
Dmel	28155	iiLocus
Dmel	1398	niLocus
Dmel	44988	iiLocus
Dmel	2609	niLocus
Dmel	12654	iiLocus
Dmel	2648	niLocus
Dmel	10471	iiLocus
Dmel	17260	piLocus
Dmel	4354	iiLocus
Dmel	4440	piLocus
Dmel	2678	piLocus
Dmel	2243	piLocus
Dmel	2450	piLocus
Dmel	5869	piLocus
Dmel	3579	piLocus
Dmel	2229	piLocus
Dmel	3688	piLocus
Dmel	14094	piLocus
Dmel	2720	piLocus
Dmel	74207	piLocus
Dmel	5931	iiLocus
Dmel	1397	piLocus
Dmel	2451	iiLocus
Dmel	1522	piLocus
Dmel	6162	piLocus
Dmel	17555	iiLocus
Dmel	2074	piLocus
Dmel	3266	piLocus
Dmel	1559	piLocus
Dmel	1281	piLocus
Dmel	2212	iiLocus
Dmel	1921	piLocus
Dmel	12306	iiLocus
Dmel	1573	piLocus
Dmel	1031	iiLocus
Dmel	3383	piLocus
Dmel	3150	iiLocus
Dmel	1731	niLocus
Dmel	1508	piLocus
Dmel	1415	piLocus
Dmel	21155	iiLocus
Dmel	3230	piLocus
Dmel	7932	iiLocus
Dmel	1521	piLocus
Dmel	4071	niLocus
Dmel	5572	piLocus
Dmel	3308	piLocus
Dmel	1468	piLocus
Dmel	43783	piLocus
Dmel	3378	piLocus
Dmel	1093	niLocus
Dmel	1070	niLocus
Dmel	5720	piLocus
Dmel	1091	niLocus
Dmel	1099	niLocus
Dmel	1090	niLocus
Dmel	5686	niLocus
Dmel	4736	niLocus
Dmel	2041	iiLocus
Dmel	2709	piLocus
Dmel	4209	iiLocus
Dmel	224710	niLocus
Dmel	73792	piLocus
Dmel	6234	piLocus
Dmel	5992	piLocus
Dmel	2599	piLocus
Dmel	2868	piLocus
Dmel	5178	piLocus
Dmel	1888	piLocus
Dmel	2996	piLocus
Dmel	2034	piLocus
Dmel	2282	piLocus
Dmel	3246	piLocus
Dmel	1939	piLocus
Dmel	5178	iiLocus
Dmel	10643	piLocus
Dmel	4557	piLocus
Dmel	5953	piLocus
Dmel	3795	piLocus
Dmel	5729	piLocus
Dmel	4600	piLocus
Dmel	3288	piLocus
Dmel	1776	piLocus
Dmel	2441	piLocus
Dmel	9245	piLocus
Dmel	3543	piLocus
Dmel	9543	piLocus
Dmel	13248	piLocus
Dmel	7916	piLocus
Dmel	15235	piLocus
Dmel	3982	piLocus
Dmel	3196	piLocus
Dmel	22572	piLocus
Dmel	38239	iiLocus
Dmel	2411	piLocus
Dmel	2032	piLocus
Dmel	2444	iiLocus
Dmel	1200	niLocus
Dmel	2392	piLocus
Dmel	3825	iiLocus
Dmel	1732	piLocus
Dmel	3127	piLocus
Dmel	10171	iiLocus
Dmel	8632	piLocus
Dmel	1225	niLocus
Dmel	19290	iiLocus
Dmel	1860	piLocus
Dmel	12999	iiLocus
Dmel	66743	piLocus
Dmel	1383	niLocus
Dmel	2594	piLocus
Dmel	2922	piLocus
Dmel	7060	piLocus
Dmel	4168	piLocus
Dmel	3919	piLocus
Dmel	17439	piLocus
Dmel	17800	piLocus
Dmel	108223	niLocus
Dmel	2200	piLocus
Dmel	1727	niLocus
Dmel	1948	piLocus
Dmel	23657	piLocus
Dmel	14742	piLocus
Dmel	170106	piLocus
Dmel	1627	niLocus
Dmel	40201	iiLocus
Dmel	11223	piLocus
Dmel	3704	piLocus
Dmel	2157	piLocus
Dmel	2519	piLocus
Dmel	2260	piLocus
Dmel	2308	piLocus
Dmel	1955	piLocus
Dmel	2933	piLocus
Dmel	3166	piLocus
Dmel	2663	piLocus
Dmel	4848	piLocus
Dmel	3963	piLocus
Dmel	3673	piLocus
Dmel	3560	piLocus
Dmel	2951	piLocus
Dmel	4786	iiLocus
Dmel	65903	piLocus
Dmel	6612	piLocus
Dmel	536	iiLocus
Dmel	9482	piLocus
Dmel	6687	piLocus
Dmel	1701	piLocus
Dmel	1774	niLocus
Dmel	3956	piLocus
Dmel	3359	niLocus
Dmel	9858	iiLocus
Dmel	48357	piLocus
Dmel	4039	piLocus
Dmel	3155	iiLocus
Dmel	2022	piLocus
Dmel	2307	piLocus
Dmel	2726	iiLocus
Dmel	1747	niLocus
Dmel	8352	iiLocus
Dmel	3164	piLocus
Dmel	1508	niLocus
Dmel	4530	iiLocus
Dmel	1164	niLocus
Dmel	3461	iiLocus
Dmel	32257	piLocus
Dmel	33071	iiLocus
Dmel	19611	piLocus
Dmel	2143	piLocus
Dmel	2817	piLocus
Dmel	3235	piLocus
Dmel	4404	piLocus
Dmel	1137	niLocus
Dmel	3846	piLocus
Dmel	23812	piLocus
Dmel	1079	iiLocus
Dmel	13295	piLocus
Dmel	3492	niLocus
Dmel	2313	piLocus
Dmel	5601	piLocus
Dmel	1986	piLocus
Dmel	2147	piLocus
Dmel	7148	piLocus
Dmel	2872	piLocus
Dmel	2501	niLocus
Dmel	2217	piLocus
Dmel	5221	piLocus
Dmel	2321	niLocus
Dmel	4083	piLocus
Dmel	3261	piLocus
Dmel	917	iiLocus
Dmel	1538	niLocus
Dmel	11077	piLocus
Dmel	10220	piLocus
Dmel	595	iiLocus
Dmel	19658	piLocus
Dmel	2875	piLocus
Dmel	9592	piLocus
Dmel	5331	piLocus
Dmel	2793	piLocus
Dmel	2569	piLocus
Dmel	2219	niLocus
Dmel	5178	piLocus
Dmel	5296	piLocus
Dmel	26024	ciLocus
Dmel	2433	piLocus
Dmel	1109	niLocus
Dmel	1585	niLocus
Dmel	3404	piLocus
Dmel	9133	iiLocus
Dmel	1668	piLocus
Dmel	2609	iiLocus
Dmel	2205	piLocus
Dmel	1648	niLocus
Dmel	1838	piLocus
Dmel	886	iiLocus
Dmel	1957	piLocus
Dmel	1738	iiLocus
Dmel	23265	piLocus
Dmel	1318	niLocus
Dmel	3456	iiLocus
Dmel	1827	piLocus
Dmel	6654	iiLocus
Dmel	1704	piLocus
Dmel	9085	iiLocus
Dmel	1602	piLocus
Dmel	2943	iiLocus
Dmel	2172	piLocus
Dmel	3517	piLocus
Dmel	4014	piLocus
Dmel	3788	piLocus
Dmel	4523	piLocus
Dmel	18510	niLocus
Dmel	5539	piLocus
Dmel	3256	piLocus
Dmel	5945	piLocus
Dmel	4731	piLocus
Dmel	1238	niLocus
Dmel	25756	piLocus
Dmel	3645	piLocus
Dmel	3672	piLocus
Dmel	3049	piLocus
Dmel	2461	piLocus
Dmel	2482	piLocus
Dmel	582	iiLocus
Dmel	3655	piLocus
Dmel	7041	piLocus
Dmel	1031	iiLocus
Dmel	21421	piLocus
Dmel	1091	iiLocus
Dmel	4850	piLocus
Dmel	3867	iiLocus
Dmel	4290	piLocus
Dmel	5203	niLocus
Dmel	1469	iiLocus
Dmel	5999	piLocus
Dmel	1312	niLocus
Dmel	20733	iiLocus
Dmel	3048	piLocus
Dmel	2685	piLocus
Dmel	11377	piLocus
Dmel	15819	piLocus
Dmel	1688	piLocus
Dmel	541	iiLocus
Dmel	2307	piLocus
Dmel	6834	piLocus
Dmel	2822	piLocus
Dmel	3796	piLocus
Dmel	9968	ciLocus
Dmel	1771	niLocus
Dmel	13767	piLocus
Dmel	89399	piLocus
Dmel	1253	iiLocus
Dmel	2703	piLocus
Dmel	3075	piLocus
Dmel	1676	piLocus
Dmel	3372	piLocus
Dmel	13708	iiLocus
Dmel	3060	piLocus
Dmel	3763	piLocus
Dmel	3080	piLocus
Dmel	11620	piLocus
Dmel	4292	piLocus
Dmel	15743	piLocus
Dmel	2775	piLocus
Dmel	10561	piLocus
Dmel	1951	piLocus
Dmel	8188	piLocus
Dmel	2753	piLocus
Dmel	3772	piLocus
Dmel	1333	niLocus
Dmel	1024	iiLocus
Dmel	2539	piLocus
Dmel	4853	piLocus
Dmel	2463	piLocus
Dmel	2776	piLocus
Dmel	3875	piLocus
Dmel	2238	piLocus
Dmel	1829	piLocus
Dmel	4582	piLocus
Dmel	3232	piLocus
Dmel	1689	iiLocus
Dmel	3771	piLocus
Dmel	1466	iiLocus
Dmel	21624	piLocus
Dmel	3193	piLocus
Dmel	3733	iiLocus
Dmel	6970	piLocus
Dmel	2371	iiLocus
Dmel	3134	piLocus
Dmel	2386	piLocus
Dmel	11695	piLocus
Dmel	1094	iiLocus
Dmel	3291	piLocus
Dmel	5976	piLocus
Dmel	1449	niLocus
Dmel	2851	piLocus
Dmel	10304	iiLocus
Dmel	1680	piLocus
Dmel	13555	iiLocus
Dmel	1646	piLocus
Dmel	17659	iiLocus
Dmel	1675	piLocus
Dmel	2688	iiLocus
Dmel	102201	piLocus
Dmel	1073	niLocus
Dmel	2879	piLocus
Dmel	2813	piLocus
Dmel	2808	piLocus
Dmel	3452	piLocus
Dmel	1067	niLocus
Dmel	5577	piLocus
Dmel	1195	iiLocus
Dmel	49403	piLocus
Dmel	2357	piLocus
Dmel	7179	piLocus
Dmel	1537	niLocus
Dmel	3612	piLocus
Dmel	53954	piLocus
Dmel	3211	piLocus
Dmel	1426	niLocus
Dmel	2136	piLocus
Dmel	6169	piLocus
Dmel	1911	piLocus
Dmel	7612	piLocus
Dmel	6435	piLocus
Dmel	3790	piLocus
Dmel	2857	piLocus
Dmel	4422	piLocus
Dmel	2930	piLocus
Dmel	4505	piLocus
Dmel	1458	piLocus
Dmel	2179	piLocus
Dmel	6712	piLocus
Dmel	3702	piLocus
Dmel	20882	piLocus
Dmel	20983	piLocus
Dmel	4201	niLocus
Dmel	550	iiLocus
Dmel	3702	piLocus
Dmel	1143	niLocus
Dmel	1141	niLocus
Dmel	1150	niLocus
Dmel	1141	niLocus
Dmel	1073	niLocus
Dmel	4142	niLocus
Dmel	9209	piLocus
Dmel	15391	piLocus
Dmel	1882	niLocus
Dmel	9500	ciLocus
Dmel	23869	piLocus
Dmel	11147	piLocus
Dmel	5179	piLocus
Dmel	3742	piLocus
Dmel	2825	piLocus
Dmel	2000	piLocus
Dmel	14627	piLocus
Dmel	2288	piLocus
Dmel	6748	piLocus
Dmel	4507	piLocus
Dmel	2641	piLocus
Dmel	3115	piLocus
Dmel	16286	piLocus
Dmel	3897	niLocus
Dmel	18693	piLocus
Dmel	25696	iiLocus
Dmel	61597	ciLocus
Dmel	3392	piLocus
Dmel	2070	piLocus
Dmel	18699	piLocus
Dmel	1528	niLocus
Dmel	1703	piLocus
Dmel	3001	piLocus
Dmel	1269	iiLocus
Dmel	2918	niLocus
Dmel	6480	piLocus
Dmel	3854	iiLocus
Dmel	3140	piLocus
Dmel	1781	piLocus
Dmel	1781	piLocus
Dmel	2643	piLocus
Dmel	2123	piLocus
Dmel	5598	iiLocus
Dmel	45445	ciLocus
Dmel	2360	iiLocus
Dmel	4277	piLocus
Dmel	860	iiLocus
Dmel	24504	piLocus
Dmel	1117	niLocus
Dmel	4723	piLocus
Dmel	2937	piLocus
Dmel	2461	piLocus
Dmel	5050	piLocus
Dmel	9052	iiLocus
Dmel	1368	niLocus
Dmel	12775	iiLocus
Dmel	1964	niLocus
Dmel	1242	iiLocus
Dmel	105210	piLocus
Dmel	5251	niLocus
Dmel	240347	niLocus
Dmel	1980	piLocus
Dmel	125914	piLocus
Dmel	2760	piLocus
Dmel	3932	piLocus
Dmel	4194	piLocus
Dmel	10149	piLocus
Dmel	5593	piLocus
Dmel	3210	piLocus
Dmel	1927	piLocus
Dmel	6380	piLocus
Dmel	2248	piLocus
Dmel	2263	piLocus
Dmel	1814	piLocus
Dmel	1258	piLocus
Dmel	2477	piLocus
Dmel	1852	piLocus
Dmel	2412	iiLocus
Dmel	1640	piLocus
Dmel	1629	piLocus
Dmel	1794	piLocus
Dmel	1590	iiLocus
Dmel	1441	piLocus
Dmel	4549	piLocus
Dmel	1384	iiLocus
Dmel	1316	piLocus
Dmel	1524	piLocus
Dmel	18643	iiLocus
Dmel	5733	niLocus
Dmel	2817	niLocus
